slug,description,visual_style,primary_font,display_font,mono_font,type_scale,palette_keys,primary_hex,secondary_hex,surface_hex,text_hex,spacing_scale
clean,"Simplicity-focused design with ample whitespace, legible typography, and a limited color palette to reduce visual clutter.","minimal, clean",Roboto,Poppins,Inconsolata,12/14/16/20/24/32 ,"primary, neutral, success, warning, danger",#3B82F6,#8B5CF6,#FFFFFF,#111827,8pt baseline grid
codex,"A radically minimal, blank-canvas interface built as a pure edge-to-edge surface, with almost no color and typography carrying the visual weight. Black serves as the only filled color, the only divider, and the sole surface tone cards.","modern, minimal, clean",Open Sans,Open Sans,JetBrains Mono,12/14/16/20/24/32 ,"primary, secondary, neutral, success, warning, danger",#000000,#ffffff,#FFFFFF,#111827,4/8/12/16/24/32
colorful,"Vibrant, high-contrast palettes and gradients for engaging, memorable, and modern user experiences.","high-contrast, playful, premium",Inter,Inter,JetBrains Mono,12/14/16/20/24/32 ,"primary, neutral, success, warning, danger",#3B82F6,#8B5CF6,#FFFFFF,#111827,8pt baseline grid
contemporary,"Current-era minimalist design with bento grids, dark mode support, and high-performance accessible layouts.","modern, minimal, bold, playful",Jost,Jost,Overpass Mono,desktop-first expressive scale ,"primary, secondary, neutral",#C800DF,#E60076,#FFFFFF,#111827,comfortable density mode
corporate,"Professional, brand-aligned design with structured grids, minimalist layouts, and consistent enterprise patterns.","enterprise, premium",Open Sans,Poppins,IBM Plex Mono,desktop-first expressive scale ,"primary, neutral, success, warning, danger",#3B82F6,#8B5CF6,#FFFFFF,#111827,8pt baseline grid
cosmic,"Futuristic sci-fi aesthetic with dark themes, vibrant neon accents, and immersive spatial elements.","playful, premium",Audiowide,Audiowide,JetBrains Mono,12/14/16/20/24/32 ,"primary, neutral, success, warning, danger",#3B82F6,#8B5CF6,#FFFFFF,#111827,4/8/12/16/24/32
creative,"Playful, character-driven design with expressive typography and bold graphics for landing pages and creative projects.",playful,Bangers,Bangers,IBM Plex Mono,12/14/16/20/24/32 ,"primary, secondary, neutral, success, warning, danger",#3B82F6,#8B5CF6,#FFFFFF,#111827,4/8/12/16/24/32
dashboard,"Dark-themed cloud-platform aesthetic with modular grids, glass-like panels, and strong data hierarchy for productivity dashboards.","modern, clean, cloud-platform aesthetic (Heroku/Vercel/GitHub inspired), dark theme, subtle gradients, soft shadows, glass-like panels, rounded components",IBM Plex Sans,IBM Plex Sans,IBM Plex Sans,12/14/16/20/24/32 ,"primary, neutral, success, warning, danger",#0C5CAB,#0a4a8a,#09090b,#fafafa,8pt baseline grid
dithered,"Dot-pattern rendering technique that simulates shades with a limited palette for nostalgic, retro, high-contrast visuals.","modern, minimal",Open Sans,Space Grotesk,IBM Plex Mono,14/16/18/24/32/40 ,"primary, neutral, success, warning, danger",#3B82F6,#8B5CF6,#FFFFFF,#111827,4/8/12/16/24/32
doodle,"Hand-drawn, sketch-like style with doodles, handwritten fonts, and imperfect lines for a playful, informal feel.",playful,Delius Swash Caps,Delius Swash Caps,JetBrains Mono,14/16/18/24/32/40 ,"primary, secondary, neutral, success, warning, danger",#49B6E5,#263D5B,#FFFFFF,#111827,4/8/12/16/24/32
dramatic,"High-contrast, theatrical design with bold layouts, immersive visuals, and unconventional compositions that command attention.","modern, clean, high-contrast",Outfit,Outfit,JetBrains Mono,12/14/16/20/24/32 ,"primary, neutral, success, warning, danger",#8B5CF6,#F43F5E,#09090B,#FAFAFA,4/8/12/16/24/32
editorial,"Magazine-inspired editorial layout with refined serif typography, structured grids, and elegant reading experiences.","modern, editorial",Gelasio,Gelasio,Ubuntu Mono,14/16/18/24/32/40 ,"primary, secondary, neutral, success",#111111,#f1f1f1,#FFFFFF,#111827,8pt baseline grid
elegant,"Graceful, refined aesthetic with delicate typography, minimal palettes, and polished layouts that exude sophistication.","minimal, clean",Google Sans,Google Sans,Anonymous Pro,14/16/18/24/32/40 ,"primary, secondary, neutral, success, warning, danger",#3B82F6,#8B5CF6,#FFFFFF,#111827,4/8/12/16/24/32
energetic,"Dynamic, vibrant style with thick borders, geometric shapes, high-contrast colors, and expressive typography conveying motion and vitality.","bold, geometric, vibrant, thick-bordered",Limelight,Limelight,JetBrains Mono,12/14/16/20/24/32/48 ,"primary, secondary, neutral",#EA580B,#F59E0B,#FDBA74,#EA580C,4/8/12/16/24/32/48/64
enterprise,"Clean, high-contrast enterprise design for data-driven workflows with intuitive drag-and-drop patterns and structured layouts.","clean, high-contrast, enterprise",Ubuntu,Oswald,Ubuntu Mono,desktop-first expressive scale ,"primary, success, warning, danger",#072C2C,#FF5F03,#EDEADE,#111827,comfortable density mode
expressive,"Vibrant, personality-driven design with bold colors, playful graphics, and dynamic layouts that balance creativity with structure.","modern, playful",IBM Plex Mono,IBM Plex Mono,IBM Plex Mono,14/16/18/24/32/40 ,"primary, secondary, neutral, success, warning, danger",#db2777,#2563eb,#FFFFFF,#111827,4/8/12/16/24/32
fantasy,"Game-inspired fantasy aesthetic with bold, premium visuals, rich color palettes, and immersive thematic elements.","bold, premium",New Rocker,New Rocker,IBM Plex Mono,12/14/16/20/24/32 ,"primary, secondary, success, warning, danger, info",#0250CC,#FDC800,#FFFFFF,#111827,8pt baseline grid
fiction,"A playful, energetic, cartoonesque interface inspired by friendly children's-book illustrations — warm cream backgrounds, big bold custom display typography, saturated brand color blocks, thick black outlines, generously rounded shapes",playful,Cossette Texte,Cossette Texte,JetBrains Mono,12/14/16/20/24/32 ,"primary, neutral, success, warning, danger",#222222,#FFE9CE,#FFFFFF,#111827,4/8/12/16/24/32
flat,"Two-dimensional minimalist style with vibrant colors, clean typography, and no 3D effects for fast, user-friendly interfaces.","minimal, enterprise",Inter,Inter,JetBrains Mono,12/14/16/20/24/32 ,"primary, neutral, success, warning, danger",#F2673C,#8B5CF6,#FFFFFF,#111827,4/8/12/16/24/32
friendly,"Approachable, intuitive design with rounded elements, ample whitespace, and soft pastel color palettes.","bold, playful, premium",Noto Serif Display,Noto Serif Display,Space Mono,14/16/18/24/32/40 ,"primary, secondary, neutral",#F2D9DC,#D9F2D8,#FFFFFF,#111827,compact density mode
futuristic,"Forward-looking design with tech-inspired typography, modern layouts, and a sleek, innovation-driven aesthetic.",modern,Roboto,Audiowide,Anonymous Pro,desktop-first expressive scale ,"primary, neutral, success, warning, danger",#3B82F6,#8B5CF6,#FFFFFF,#111827,4/8/12/16/24/32
glassmorphism,"Frosted glass effect with translucent layers, subtle blur, and luminous borders for depth and modern elegance.","clean, high-contrast, bold, enterprise, liquidglass effect, glassmorphism",Plus Jakarta Sans,Plus Jakarta Sans,JetBrains Mono,mobile-first compact scale ,"primary, neutral, success, warning, danger, info, surface/subtle layers",#1856FF,#3A344E,#FFFFFF,#141414,comfortable density mode
gradient,"Smooth color transitions and gradient-rich surfaces for modern, playful interfaces with visual depth.","modern, playful",Montserrat,Space Grotesk,JetBrains Mono,12/14/16/18/24/30/36 ,"primary, secondary, neutral, success, warning, danger",#990FFA,#E60076,#FFFFFF,#111827,8pt baseline grid
immersive,"An immersive, interactive, exhibit-style interface that blends storytelling, animation, and gamified elements to create a playful, experience-driven journey. The entire app sits on a single continuous brand-colored canvas (deep green)","modern, clean, high-contrast",Oswald,Oswald,JetBrains Mono,12/14/16/20/24/32 ,"primary, neutral, success, warning, danger",#00592B,#0023D1,#FFFFFF,#111827,4/8/12/16/24/32
impeccable,"A modern, graphic, editorial-poster aesthetic — warm and confident — built on alternating cream and burnt orange sections, an amber brand color.","modern, clean, high-contrast",Chakra Petch,Chakra Petch,JetBrains Mono,12/14/16/20/24/32 ,"primary, neutral, success, warning, danger",#CC8800,#C55221,#FFFFFF,#111827,4/8/12/16/24/32
levels,"Conversion-focused design that removes friction and guides users toward action through clarity, trust, and speed.","modern, clean",Inter,Inter,JetBrains Mono,12/14/16/20/24/32 ,"primary, neutral, success, warning, danger",#27272A,#8B5CF6,#FFFFFF,#111827,4/8/12/16/24/32
lingo,"Playful, minimal design with bright colors, rounded shapes, tactile 3D borders, and friendly illustrations for approachable interfaces.","bold, playful",Nunito,Nunito,JetBrains Mono,12/14/16/20/24/32 ,"primary, neutral, success, warning, danger",#58cc02,#ce82ff,#FFFFFF,#3c3c3c,4/8/12/16/24/32
luxury,"High-end dark aesthetic with bold headings, monochromatic palette, and premium feel for luxury brand experiences.","modern, bold, big headings",Oswald,Oswald,JetBrains Mono,desktop-first expressive scale ,primary,#FAFAFA,#FAFAFA,#000000,#ffffff,8pt baseline grid
material,"Google's Material Design with layered surfaces, dynamic theming, built-in motion, and responsive cross-platform patterns.","modern, minimal, clean",Inter,Roboto,Fira Code,12/14/16/20/24/32 ,"primary, secondary, neutral, success, warning, danger",#6442D6,#C8B3FD,#FFFFFF,#111827,4/8/12/16/24/32
matrix,"A cyber-slick, dark-only Matrix-inspired interface defined by minimalist fashion, high-tech digital elements",high-contrast,Space Mono,Space Mono,Space Mono,12/14/16/20/24/32 ,"primary, neutral, success, warning, danger",#2DB58A,#0B0C14,#FFFFFF,#111827,4/8/12/16/24/32
minimal,"Stripped-back design emphasizing whitespace, clean typography, and restrained color for maximum clarity and focus.","minimal, clean, bold",Open Sans,Inter,Inconsolata,desktop-first expressive scale ,"primary, neutral, success, warning, danger",#0C0C09,#312C85,#F4F4F1,#0C0C09,4/8/12/16/24/32
modern,"Contemporary editorial style with serif typography, minimal palettes, and clean layouts for polished digital products.","modern, minimal, clean, editorial",IBM Plex Serif,IBM Plex Serif,JetBrains Mono,12/14/16/20/24/32 ,"primary, secondary",#553F83,#111111,#553F83,#ffffff,4/8/12/16/24/32
mono,"Monospace-driven, matrix-inspired design with high-contrast elements, compact density, and a hacker-chic aesthetic.","minimal, clean, high-contrast, playful, matrix",Space Mono,Space Mono,JetBrains Mono,desktop-first expressive scale ,"primary, secondary, success, warning, danger, info",#37F712,#00A6F4,#E7E5E4,#78716B,compact density mode
neobrutalism,"Modern take on brutalism with bold borders, vivid accent colors, and raw, high-contrast layouts on warm surfaces.","modern, clean, high-contrast",Inter,Inter,JetBrains Mono,13/15/17/21/27/35 ,"primary, neutral, success, warning, danger",#FDC800,#432DD7,#FBFBF9,#1C293C,4/8/12/16/24/32
neon,"Electric neon glow effects with high-contrast color pairings for bold, attention-grabbing interfaces.",high-contrast,Roboto,STIX Two Text,Source Code Pro,14/16/18/24/32/40 ,"primary, secondary",#BBF351,#00BCFF,#FFFFFF,#111827,4/8/12/16/24/32
neumorphism,"Soft, extruded UI elements with inner and outer shadows on monochromatic surfaces for a tactile, embedded look.","minimal, clean, high-contrast, playful, matrix",Space Mono,Space Mono,JetBrains Mono,desktop-first expressive scale ,"primary, secondary, success, warning, danger, info",#006666,#F1F2F5,#E7E5E4,#1E2938,compact density mode
pacman,"Retro arcade-inspired design with pixel fonts, dotted borders, playful high-contrast colors, and 8-bit game aesthetics.","high-contrast, playful, dotted borders",Press Start 2P,Press Start 2P,Space Mono,desktop-first expressive scale ,"primary, secondary, success, warning, danger, info, surface/subtle layers",#2A3FE5,#F4B9B0,#000000,#111827,8pt baseline grid
paper,"Paper-textured, print-inspired design with minimal colors, clean serif/sans typography, and tactile surface qualities.","minimal, clean",Roboto,Montserrat,PT Mono,14/16/18/24/32/40 ,"primary, neutral, success, warning, danger",#111111,#8B5CF6,#FFFFFF,#111827,4/8/12/16/24/32
perspective,"Spatial depth design with isometric views, vanishing points, and layered elements that guide attention through 3D-like realism.","modern, clean, high-contrast",Poppins,Oswald,JetBrains Mono,12/14/16/20/24/32 ,"primary, neutral, success, warning, danger",#00BD7D,#00BD7D,#FFFFFF,#111827,4/8/12/16/24/32
premium,"Apple-inspired premium aesthetic with precise spacing, modern typography, and a refined, polished visual language.",modern,Inter,Inter,JetBrains Mono,12/14/16/18/24/30/36 ,"primary, neutral, success, warning, danger",#3B82F6,#8B5CF6,#FFFFFF,#111827,4/8/12/16/24/32
professional,"Polished, business-ready design with modern typography, structured layouts, and a trustworthy visual identity.",modern,Poppins,Poppins,IBM Plex Mono,mobile-first compact scale ,"primary, secondary, neutral, success, warning, danger",#FECE14,#000000,#FFFFFF,#111827,4/8/12/16/24/32
publication,"Print-inspired visual language for books, magazines, and reports with editorial grids and expressive typography.","modern, editorial",Nunito,Oswald,JetBrains Mono,desktop-first expressive scale ,"primary, neutral, success, warning, danger",#A855F7,#0A1829,#FFFFFF,#0A1829,4/8/12/16/24/32
refined,"Carefully curated, modern minimal style with elegant serif typography and understated, sophisticated palettes.","modern, minimal",Playfair Display,Playfair Display,JetBrains Mono,12/14/16/20/24/32 ,"primary, neutral, success, warning, danger",#3B82F6,#8B5CF6,#FFFFFF,#111827,4/8/12/16/24/32
retro,"Throwback design with vintage-inspired typography, high-contrast retro palettes, and nostalgic visual elements.","high-contrast, retro",Macondo,Macondo,JetBrains Mono,desktop-first expressive scale ,"primary, neutral, success, warning, danger",#3B82F6,#8B5CF6,#FFFFFF,#111827,4/8/12/16/24/32
riso,"A playful, joyful, two-color risograph print aesthetic built on a single warm off-white paper surface running through every section","clean, high-contrast",Space Grotesk,Space Grotesk,Overpass Mono,12/14/16/20/24/32 ,"primary, secondary",#F237A1,#2C40A7,#FFFFFF,#111827,4/8/12/16/24/32
sega,"A playful, arcade-inspired interface for games — built on the VT323 pixel typeface, hard-edged 0px corners, chunky pill buttons that physically press into solid offset blocks","modern, playful",VT323,VT323,JetBrains Mono,13/15/17/21/27/35 ,"primary, secondary, neutral, success, warning, danger",#4502FF,#FFDA14,#FFFFFF,#111827,4/8/12/16/24/32
shadcn,"Shadcn/ui-inspired design with minimal, clean components, monochrome palette, and utility-first patterns.","minimal, clean",Geist,Geist,Fira Code,12/14/16/20/24/32 ,"primary, secondary",#000000,#111111,#FFFFFF,#111827,4/8/12/16/24/32
simple,"Straightforward, no-frills design with clean typography, neutral colors, and intuitive layouts that stay out of the way.","minimal, clean",Inter,Inter,JetBrains Mono,12/14/16/20/24/32 ,"primary, neutral, success, warning, danger",#3B82F6,#8B5CF6,#FFFFFF,#111827,4/8/12/16/24/32
sketch,"A friendly, hand-drawn sketch interface inspired by pencil illustrations on warm cream paper. Soft teal brand accents, hand-written display headings, rounded pill controls.","modern, clean, high-contrast",Delicious Handrawn,Delicious Handrawn,JetBrains Mono,12/14/16/20/24/32 ,"primary, secondary, neutral, success, warning, danger",#1DAD97,#F4EDE0,#FFFFFF,#111827,4/8/12/16/24/32
skeumorphism,"Real-world mimicry with textured surfaces, 3D effects, and familiar physical metaphors for intuitive digital interfaces.",playful,Roboto,Germania One,JetBrains Mono,12/14/16/20/24/32 ,"primary, secondary, neutral, success, warning, danger",#FA3C00,#F08321,#FFFFFF,#111827,4/8/12/16/24/32
sleek,"Modern minimalist aesthetic with clean lines, intentional color palette, subtle interactions, and consistent spacing.","modern, minimal, clean",Inter,Inter,JetBrains Mono,desktop-first expressive scale ,"primary, neutral, success, warning, danger",#3B82F6,#8B5CF6,#FFFFFF,#111827,8pt baseline grid
spacious,"Generous whitespace, consistent padding, and grid-based layouts for clean, readable, and breathing interfaces.","minimal, clean",Open Sans,Montserrat,IBM Plex Mono,12/14/16/18/24/30/36 ,"primary, neutral, success, warning, danger",#3B82F6,#8B5CF6,#FFFFFF,#111827,8pt baseline grid
storytelling,"Narrative-driven design using visuals, copy, and interaction to guide users through engaging, emotionally resonant journeys.",playful,Inter,Abril Fatface,JetBrains Mono,desktop-first expressive scale ,"primary, neutral, success, warning, danger",#3B82F6,#8B5CF6,#FFFFFF,#111827,4/8/12/16/24/32
terracotta,"A sun-baked, clay-toned editorial interface built on warm cream surfaces, ink-brown headlines set in a display serif, and a single terracotta accent.","modern, clean, high-contrast, playful",DM Serif Display,DM Serif Display,JetBrains Mono,14/16/18/24/32/40 ,"primary, neutral, success, warning, danger",#C56A3C,#F3E9D8,#FFFFFF,#111827,4/8/12/16/24/32
tetris,"Classic block-game inspired design with playful colors, bold display fonts, and compact, high-energy layouts.","high-contrast, playful, premium",Bangers,Bangers,JetBrains Mono,desktop-first expressive scale ,"primary, secondary, success, warning, danger, info",#1C202B,#7107E7,#DFE7FF,#1C398E,compact density mode
vibrant,"Lively, colorful design with bold playful typography, warm accents, and dynamic visual energy.","modern, clean, bold, playful",Noto Sans,Fascinate,Fira Code,14/16/18/24/32/40 ,"primary, secondary, neutral, success",#7C61D4,#EAAE87,#FFFFFF,#2F281D,2/4/8/12/16/24/32/48
vintage,"1950s-1990s nostalgia with skeuomorphic touches, grainy textures, retro color palettes, and pixel-style typography.","clean, vintage, retro",Silkscreen,Silkscreen,JetBrains Mono,12/14/16/20/24/32 ,"primary, neutral, success, warning, danger",#008080,#C0C0C0,#C0C0C0,#000000,4/8/12/16/24/32
